d,b,t,r_out,n_r,area,ixx,iyy,ixy,g_eff,section_type,valid
79.30968859672812,140.69065415411671,2.7753760228313356,10.079837029664542,4,1142.1085403539987,250904535032.54016,599520955381.9551,0.0001220703125,76923.07692307704,rectangular_hollow_section,True
160.79188985989703,85.22743318911077,2.482907336658797,18.84873375695261,4,1109.5925591255054,727522773815.0715,282994321647.78796,0.00341796875,76923.07692307695,rectangular_hollow_section,True
252.53861603349506,183.54908834859398,4.032034782056874,12.035544087752422,4,3370.814205975227,6279142460198.627,3873790083324.91,0.0849609375,76923.07692307765,rectangular_hollow_section,True
278.605732503579,258.24335994019316,2.215350125575892,14.538697537727307,4,2299.4774693528757,5659155907204.105,5052792937766.829,-0.03125,76923.0769230764,rectangular_hollow_section,True
24.478282903979842,219.6612538145063,17.39638183786832,14.534406429982221,4,,,,,,rectangular_hollow_section,False
102.42971637330528,210.80797922681631,4.325054514752382,13.826091719952013,4,2533.824728595408,945098352781.585,2857990795947.0684,0.0068359375,76923.07692307679,rectangular_hollow_section,True
121.19050432159537,153.10292409320468,8.802771795907764,16.88625118720207,4,4299.326905654151,1881777507192.8672,2710729974940.9375,0.0068359375,76923.07692307708,rectangular_hollow_section,True
87.14975587752318,26.65539097870965,3.995753395422956,12.706437759328775,4,760.0328847025681,107972623100.49927,16157988558.708324,0.00018310546875,76923.07692307705,rectangular_hollow_section,True
221.14800818349426,160.8608622394133,2.57750245842746,10.587854108352095,4,1894.7466085548556,2729377898477.2744,1690518827643.9678,0.01025390625,76923.07692307713,rectangular_hollow_section,True
217.6641016674725,195.13181618295232,8.418148870809208,15.427899224870306,4,6477.610583343359,9038602807043.283,7638418217713.629,0.015625,76923.07692307675,rectangular_hollow_section,True
205.74780293945125,66.99895100727018,10.088641854452893,11.609551221126818,4,4963.697342942191,4472928657212.711,688570409469.5613,-0.00732421875,76923.07692307653,rectangular_hollow_section,True
153.86185270958222,133.11546050022443,19.62010570924893,14.770495789392456,4,9503.088704632379,5489920654403.295,4294980843174.13,-0.044921875,76923.07692307638,rectangular_hollow_section,True
160.7993713534602,162.4206117062351,17.565746606191333,19.599434675570016,4,9740.976873197838,6607216440371.402,6716593883289.881,-0.056640625,76923.07692307717,rectangular_hollow_section,True
242.16803700108085,146.09975790020235,7.801329929790939,12.55281615272716,4,5679.570771543454,8904727107095.791,4059124066867.632,-0.021484375,76923.07692307679,rectangular_hollow_section,True
175.82957645248055,235.9953038679414,9.311703626705945,19.07087002538261,4,7054.294410840443,6910876585313.396,10885596462564.61,-0.0546875,76923.07692307714,rectangular_hollow_section,True
297.79585376260013,179.76491086855893,4.969722815444648,14.931078436816481,4,4524.188178577198,11068752865595.82,5137423215887.26,0.025390625,76923.0769230765,rectangular_hollow_section,True
222.72184880981908,91.746125517445,13.114036939846246,8.44828796728591,4,7488.603834435806,8438824124036.41,1918160685384.2075,-0.0234375,76923.07692307676,rectangular_hollow_section,True
272.95452422715397,257.23486761181505,12.848885690406078,13.995888013086313,4,12769.741059122523,28163620944612.21,25670946119494.773,0.046875,76923.07692307669,rectangular_hollow_section,True
223.57324704675085,286.70388415473013,10.550572086228053,8.155835061961326,4,10255.655382445015,16496460807528.285,24320923214960.367,-0.04296875,76923.07692307707,rectangular_hollow_section,True
184.27301714899968,243.9337937410153,8.973528256161472,11.626476300880613,4,7234.818178701077,7902649416048.441,12219323682025.938,-0.03515625,76923.076923077,rectangular_hollow_section,True
135.52888261831689,68.14985079388066,9.333264891513448,18.513373432697833,4,3195.065206236769,1289324567994.4336,426602724658.1969,-0.005126953125,76923.07692307682,rectangular_hollow_section,True
209.83121657439352,45.784347169608296,19.813884127720605,13.712877368870158,4,8371.071299890611,6155550964631.0,320286408953.59375,-0.0234375,76923.07692307685,rectangular_hollow_section,True
134.3475751489272,114.65590203187857,5.4131901910156195,14.592527128137204,4,2449.914226851237,1259464030676.2935,988699126590.7346,-0.000244140625,76923.07692307695,rectangular_hollow_section,True
91.91129098122485,138.7965949159551,14.318330434462704,12.760790022201919,4,5623.807380511821,1270983656156.2808,2542840769344.802,0.009765625,76923.07692307704,rectangular_hollow_section,True
180.31856338434423,49.26727176948319,4.9424139110698455,19.84137686439969,4,2000.0054910340007,1286128436105.6133,165527490689.85782,0.000732421875,76923.0769230769,rectangular_hollow_section,True
153.50463884651862,263.5320334107481,3.334796361955222,19.3953051194311,4,2618.7433686612862,2192338080544.9434,4934790820956.547,0.0283203125,76923.07692307692,rectangular_hollow_section,True
109.65729939762683,295.7385809507401,14.254007953112763,16.939260062733975,4,10464.597281799428,3973341866150.1543,20301574713900.17,-0.0859375,76923.0769230769,rectangular_hollow_section,True
297.08964645535127,215.8999660107667,19.563244167034295,17.364849097536048,4,18239.06201411781,42522712364281.22,25431164660437.406,-0.0625,76923.07692307676,rectangular_hollow_section,True
283.9026661634689,209.4468590132794,7.1892075784082055,17.924532704622244,4,6680.803800874059,15409598896750.586,9691544057263.115,-0.0234375,76923.07692307678,rectangular_hollow_section,True
50.02073175143934,241.06515665332762,13.161631121860214,17.15593482191949,4,6691.044403207616,429283208113.26,7006298125678.797,-0.0087890625,76923.0769230772,rectangular_hollow_section,True
58.633314988266,236.44675631823515,6.539659031477054,19.71512956199512,4,3473.284235719229,407938786784.91504,3864180307611.7207,-0.00146484375,76923.07692307692,rectangular_hollow_section,True
174.1488535003791,48.767517047825486,4.155422322430364,13.248885110809528,4,1690.7112945154042,1078189864915.4102,143056091799.24503,0.0042724609375,76923.07692307654,rectangular_hollow_section,True
212.42233980925425,214.23510429637196,15.174218307086843,18.68506196494121,4,11690.553276036739,15023410553391.375,15227327865534.168,0.0703125,76923.07692307711,rectangular_hollow_section,True
171.95922775245464,83.28305644802789,16.214302221674032,9.898766962413745,4,7127.5510980347835,4618640911832.846,1319468753054.3203,-0.01953125,76923.07692307695,rectangular_hollow_section,True
